Name,Google Map,Type,Station,PropertyGuru
Serasi Residences,https://maps.app.goo.gl/u8U4rK9k3spDRbPE9,Service Apartment,LRT Putra Heights,
Taman Alam Megah Seksyen 28,https://maps.app.goo.gl/JXB9GK9Nm5Qdhbhb8,Area,LRT Subang Alam,
Putra Bistari,https://maps.app.goo.gl/Z1xkor5Z4TEXanMh9,Area,LRT Alam Megah,
Shah Alam Seksyen 27,https://maps.app.goo.gl/JXB9GK9Nm5Qdhbhb8,Area,LRT Alam Megah,
Main Place Residence,https://maps.app.goo.gl/UDqE9H9m1wTXSJnD9,Service Apartment,LRT USJ 21,
Starville Apartment,https://maps.app.goo.gl/iKUGysQyQfTi6UGq8,Apartment,LRT Wawasan,
Rhythm Avenue,https://maps.app.goo.gl/2yAEwRVsBH2WcBNQA,Apartment,LRT Wawasan,
Subang USJ 19,https://maps.app.goo.gl/yaqhSwbWT5aL4oEz6,Area,LRT Wawasan,
Subang USJ 18,https://maps.app.goo.gl/E9khLmoYzXubMx6w6,Area,LRT Wawasan,
Subang Perdana Goodyear Court 3,https://maps.app.goo.gl/h5SXHEUpahhV27c38,Apartment,LRT Taipan,
Subang Perdana Goodyear Court 6,https://maps.app.goo.gl/p9We3s1X7nYhLz7v5,Apartment,LRT Taipan,
Subang Perdana Goodyear Court 1,https://maps.app.goo.gl/q6W73UPU67jE6tTDA,Apartment,LRT USJ 7,
Subang Perdana Goodyear Court 2,https://maps.app.goo.gl/idR3yPKprCBZynda9,Apartment,LRT USJ 7,
Subang USJ 2,https://maps.app.goo.gl/ierw1P898sAXPXpaA,Area,"LRT SS 18, LRT USJ 7",
Subang SS 18,https://maps.app.goo.gl/Lq9SSredB69wLxW48,Area,LRT SS 18,
Subang SS 14,https://maps.app.goo.gl/pSwhinGPRLsCTB7X8,Area,LRT SS 18,
Subang SS 15,https://maps.app.goo.gl/LhgJ1RjcbQVAnRJg9,Area,LRT SS 15,
Subang SS 17,https://maps.app.goo.gl/vvsMdPuvWyXJ6EHL6,Area,LRT SS 15,
Lafite Apartment,https://maps.app.goo.gl/Vqjwqe4AkpL8eQX66,Apartment,LRT SS 15,
Saujana Residency,https://maps.app.goo.gl/Qth2RjxQKPor7gLx6,Condominium,LRT Subang Jaya,
Subang Avenue,https://maps.app.goo.gl/oGkUeJuuuLNigGUK9,Apartment,LRT Subang Jaya,
E-Tiara Service Apartment,https://maps.app.goo.gl/hrTuqvZe9NJ8DNLS9,Service Apartment,LRT Subang Jaya,
Casa Tiara,https://maps.app.goo.gl/gyZbjvPLooFYmkUC9,Service Apartment,LRT Subang Jaya,
Lot 15 Service Residence,https://maps.app.goo.gl/FTqPvh7UWhpPN9wF9,Service Apartment,LRT Subang Jaya,
Isola Service Residence,https://maps.app.goo.gl/BPhzrNU2TGMRbHn9A,Service Apartment,LRT Subang Jaya,
Shang Villa,https://maps.app.goo.gl/rk7aw2Jn3MBU82iS9,Condominium,LRT CGC-Glenmarie,
Panorama Residence,https://maps.app.goo.gl/H4vnNfzSayPjRSAg6,Condominium,LRT CGC-Glenmarie,
Plaza Glomac,https://maps.app.goo.gl/12LjCjFhLFcGH6Sj9,Shop/Office,LRT CGC-Glenmarie,
Pacific Place,https://maps.app.goo.gl/aCUwQgxhPixuovpq5,Service Apartment,LRT Ara Damansara,
AraTre’ Residence,https://maps.app.goo.gl/9sJB31ZTi5DrJzvq8,Service Apartment,LRT Ara Damansara,
Urbana Residence,https://maps.app.goo.gl/PDECcaAYCWYfQv5g8,Service Apartment,LRT Ara Damansara,
Puncak Nusa Kelana Condominium,https://maps.app.goo.gl/a1sqkbdGejShUL5J6,Condominium,LRT Ara Damansara,
Ara Sentral,https://maps.app.goo.gl/SkCWFxL79SHQuwbH7,Condominium,LRT Ara Damansara,
PPR Lembah Subang 2,https://maps.app.goo.gl/3WFt7gzytrRyhw1Y9,Apartment,LRT Ara Damansara,
D’aman Crimson Condominium,https://maps.app.goo.gl/oH1Wt9oLgYjWKxi86,Condominium,LRT Lembah Subang,
D’aman Ria Condominium,https://maps.app.goo.gl/gBpZwn7rB548XwVW8,Condominium,LRT Lembah Subang,
Eve Suites,https://maps.app.goo.gl/qS3z8yzf1F62aNUq5,Service Apartment,LRT Lembah Subang,
Flat Taman Putra Damai,https://maps.app.goo.gl/U9wa67JMxghLzPYS7,Flat,LRT Lembah Subang,
Cantara Residence,https://maps.app.goo.gl/zSTkLxiGzcZCeoig6,Service Apartment,LRT Lembah Subang,
Apartment Vista Subang,https://maps.app.goo.gl/wHryfhtVCkW4LXkJ9,Apartment,LRT Lembah Subang,
Winchester - Ara Damansara,https://maps.app.goo.gl/4Ejuy3va5huALeu7A,Terrace,LRT Lembah Subang,
Petaling Jaya SS 25,https://maps.app.goo.gl/puoSha9dn1D6mX8u8,Area,LRT Lembah Subang,
Petaling Jaya SS 4,https://maps.app.goo.gl/BC5c4SzD6cE3fpzJ6,Area,"LRT Kelana Jaya, LRT Taman Bahagia",
Petaling Jaya SS 3,https://maps.app.goo.gl/RQDqUxYZUeLhyavN9,Area,LRT Taman Bahagia,
Petaling Jaya SS 2,https://maps.app.goo.gl/tuUMmk5X4UoiH74R6,Area,LRT Taman Bahagia,
Megah Rise Residensi,https://maps.app.goo.gl/CZTkEkbe7WXN2ZBG6,Service Apartment,LRT Taman Bahagia,
Paramount View Condominium,https://maps.app.goo.gl/kbWrTf51R2YPxFSw9,Condominium,LRT Taman Paramount,
Flat Sri Aman,https://maps.app.goo.gl/54YzE8N7dAtceVQBA,Flat,LRT Taman Paramount,
Sea Park,https://maps.app.goo.gl/mFaV39kcjQTo7gzA9,Area,LRT Taman Paramount,
Taman Paramount,https://maps.app.goo.gl/MaP5wAHmZukuVda89,Area,LRT Taman Paramount,
Petaling Jaya Seksyen 22,https://maps.app.goo.gl/DDrSqAz3ZDPg3s4v9,Area,LRT Taman Paramount,
Millennium Square Condominium,https://maps.app.goo.gl/gXHS6VH9gwYxkRAd9,Condominium,LRT Asia Jaya,
The Istara Condominium,https://maps.app.goo.gl/SzxDhzR6S2jv5kCB8,Condominium,LRT Asia Jaya,
Pinnacle Petaling Jaya,https://maps.app.goo.gl/kEY6umHbBJGRQ3kHA,,LRT Asia Jaya,
PJ8 Service Suite,https://maps.app.goo.gl/qEQkw2AarrzAdpff8,Condominium,LRT Asia Jaya,
Centrestage Designer Suite,https://maps.app.goo.gl/C6yAtbNukhMaxeB29,Service Apartment,LRT Asia Jaya,
Amcorp Service Suite,https://maps.app.goo.gl/6cEiCj1QMthRE9fp6,Service Apartment,LRT Taman Jaya,
Vista Angkasa,https://maps.app.goo.gl/tkqkmTT4RVrNkDJS7,Apartment,LRT KL Gateway - Universiti,
KL Gateway Residence,https://maps.app.goo.gl/AWsK9ZkEVBkEJ3X39,Service Apartment,LRT KL Gateway - Universiti,
KL Gateway Premium Residence,https://maps.app.goo.gl/We8ynrMbF1D85XQq8,Service Apartment,LRT KL Gateway - Universiti,
Residensi Kerinchi,https://maps.app.goo.gl/othaBG2Mw8wn3mw2A,Condominium,LRT KL Gateway - Universiti,
Pangsapuri PKNS 17 Kampung Kerinchi,https://maps.app.goo.gl/BhfcL56ewtBsXwFh9,Flat,LRT KL Gateway - Universiti,
